"","id","hrs1","marital","childs","age","educ","sex","race","income","rincome","income91","partyid","polviews","libath","colrac","colmil","colhomo","cappun","relig","attend","reliten","bible","health","class","abdefect","abnomore","abhlth","abpoor","abrape","absingle","abany","chldidel","homosex","xmovie","fear","fefam","eqincome","govtpow","aidold","aidunemp","aidcol","aidhouse","racseg","pornlaw"
"226",637,".",1,7,30,11,2,1,12,"12",21,4,3,"2","4","4","4",1,1,6,1,".","3",3,"1","1","1","1","1","1","1",".","1","2","1",".","5","1","1","4","1","8",".","1"
"227",648,"32",5,0,58,16,1,1,12,"3",18,5,6,"2","4","4","4",1,2,7,1,".","1",3,"2","2","1","2","2","2","2",".","4","2","2",".","4","1","4","4","2","4",".","2"
"228",649,"70",3,1,43,13,1,1,98,"11",98,3,8,".",".",".",".",1,5,7,1,"1","2",2,".",".",".",".",".",".",".","2",".","2",".","8",".",".",".",".",".",".",".","1"
"229",650,"65",1,0,28,16,2,1,12,"12",20,6,6,".",".",".",".",1,3,4,3,"1",".",3,".",".",".",".",".",".",".","3",".","1",".","3","5","2","2","3","2","2",".","2"
"230",655,"56",1,0,41,16,1,1,12,"12",18,5,6,"1","5","4","5",1,1,7,1,".","2",3,"2","2","1","2","2","2","2",".","1","2","2",".","5","2","4","4","4","3",".","1"
"231",656,"40",1,2,49,16,2,1,12,"11",20,1,3,".",".",".",".",2,2,7,1,"2","2",3,".",".",".",".",".",".",".","8",".","2",".","2",".",".",".",".",".",".",".","2"
"232",657,".",2,0,76,20,1,1,12,".",18,7,4,".",".",".",".",8,1,1,9,"3",".",3,".",".",".",".",".",".",".","9",".","2",".","3",".",".",".",".",".",".",".","3"
"233",658,"55",1,1,46,17,1,1,12,"12",21,5,4,"2","5","5","4",1,1,4,3,"2","1",4,"1","8","1","1","1","1","2","2","4",".","1","3",".",".",".",".",".",".","4","."
"234",660,".",3,2,69,20,1,1,12,"99",18,4,4,"2","4","4","4",1,1,9,9,"3","1",3,"1","1","1","2","1","2","2","9","4",".","2","4",".",".",".",".",".",".","4","."
"235",662,"55",1,2,35,12,2,1,12,"12",21,4,5,"2","5","5","4",1,3,2,2,".","2",3,"1","1","1","1","1","1","1",".","3","2","1","2",".",".",".",".",".",".","3","2"
"236",666,".",1,1,30,5,2,2,11,"6",14,3,3,"2","5","5","4",1,1,7,3,"2","1",2,"1","2","1","2","1","2","2","2","1",".","1","3",".",".",".",".",".",".","4","."
"237",668,"46",3,4,58,15,2,2,12,"12",18,0,2,"2","4","4","4",1,1,6,2,"1","2",2,"2","2","1","2","1","2","2","4","1",".","1","4",".",".",".",".",".",".","4","."
"238",669,"48",4,5,39,13,1,2,12,"12",15,0,6,"2","4","4","4",1,1,3,1,"3","2",3,"1","1","1","1","1","1","1","3","1",".","2","2","5","2","2","2","1","3",".","."
"239",670,"40",1,1,32,14,1,2,12,"12",17,2,7,".",".",".",".",1,1,6,1,"2",".",3,".",".",".",".",".",".",".","2",".","1",".","3","1","3","1","2","1","2",".","2"
"240",671,"50",1,2,43,16,1,1,12,"12",21,6,6,"2","5","5","4",1,1,9,9,"2","1",3,"2","2","1","2","1","2","2","2","1",".","2","3",".",".",".",".",".",".","4","."
"241",673,"80",1,2,55,20,2,1,12,"12",21,6,6,"2","5","5","4",1,1,1,9,"2","1",4,"1","1","1","1","1","1","1","2","4",".","1","3",".",".",".",".",".",".",".","."
"242",675,".",1,2,39,12,2,1,13,"13",22,6,6,".",".",".",".",1,1,9,9,"2",".",2,".",".",".",".",".",".",".","2",".","2",".","1","5","3","2","3","1","3",".","1"
"243",684,".",2,2,68,10,2,2,5,"99",5,2,5,"2","4","4","4",2,1,0,2,"2","4",3,"1","1","1","2","1","2","2","2","1",".","1","3","4","2","1","2","9","9",".","."
"244",685,".",9,0,53,19,2,1,12,".",19,3,4,"2","4","5","4",2,5,2,8,".","1",1,"1","1","1","1","1","1","1",".","8","2","1","2",".",".",".",".",".",".","4","9"
"245",693,"40",1,3,54,17,1,1,12,"12",21,5,5,".",".",".",".",2,1,2,2,"3","1",3,".",".",".",".",".",".",".","3",".","2",".","3",".",".",".",".",".",".",".","2"
"246",704,".",1,0,38,12,2,1,12,"12",20,2,4,"2","4","4","4",1,2,3,2,"2","1",2,"1","1","1","1","1","1","1","2","4",".","2","2",".",".",".",".",".",".","4","."
"247",705,".",2,8,65,12,2,1,12,"99",16,1,6,"8","4","5","4",2,2,4,1,"1","2",3,"1","1","1","1","1","1","1","2","1",".","2","2","2","3","1","2","1","9",".","."
"248",710,"16",1,2,35,16,2,1,12,"2",21,5,4,"2","5","5","4",1,1,3,2,"2","1",3,"1","2","1","8","1","1","8","8","4",".","2","4",".",".",".",".",".",".","4","."
"249",711,".",3,3,62,15,2,1,98,"10",98,2,3,"2","5","4","4",1,1,5,1,".","1",3,"1","1","1","8","1","1","2",".","4","2","2",".","4","3","2","2","2","2",".","2"
"250",716,".",3,1,51,12,1,1,10,".",11,2,2,".",".",".",".",1,1,0,2,"2",".",2,".",".",".",".",".",".",".","0",".","8",".","3","3","2","1","2","2","2",".","2"
"251",717,"40",3,1,34,9,2,1,11,"11",13,3,4,"8","5","5","4",1,1,0,2,".","2",2,"1","2","1","2","1","2","2",".","8","8","2","3",".",".",".",".",".",".","4","2"
"252",722,"40",3,2,34,13,1,1,12,"12",18,4,3,".",".",".",".",1,1,3,2,"2","1",3,".",".",".",".",".",".",".","2",".","2",".","2",".",".",".",".",".",".",".","2"
"253",723,".",1,1,66,11,2,1,13,".",22,5,5,"2","5","5","5",1,1,3,2,"2","2",2,"1","2","1","1","1","1","2","2","1",".","1","2",".",".",".",".",".",".","8","."
"254",724,"45",1,2,36,15,2,2,12,"12",18,0,3,"2","5","5","4",1,1,9,9,".","1",3,"1","1","1","1","1","1","1",".","1","2","2",".","3","2","1","3","1","2",".","2"
"255",728,"45",5,2,39,16,2,2,12,"12",16,0,6,"1","5","5","5",2,1,7,1,"1","2",3,"2","2","2","2","2","2","2","2","1",".","1","3","3","1","1","1","1","1",".","."
"256",730,"40",4,2,45,14,2,2,11,"11",13,3,4,".",".",".",".",1,1,2,2,"2",".",2,".",".",".",".",".",".",".","2",".","1",".","4","1","1","1","2","1","1",".","2"
"257",732,"40",3,0,42,16,2,1,12,"12",21,5,5,".",".",".",".",1,1,3,2,"2","2",3,".",".",".",".",".",".",".","2",".","2",".","2",".",".",".",".",".",".",".","2"
"258",740,"89",1,1,47,16,2,1,12,"12",21,1,2,".",".",".",".",2,1,5,2,"2",".",3,".",".",".",".",".",".",".","8",".","2",".","4",".",".",".",".",".",".",".","2"
"259",748,"45",1,4,62,17,1,1,12,"12",21,6,8,"2","4","4","4",1,1,3,2,".","1",4,"1","1","1","1","1","1","1",".","8","2","2",".",".",".",".",".",".",".",".","2"
"260",758,"40",1,1,50,16,1,1,12,"12",21,3,5,"2","8","9","4",1,1,3,3,"2","2",3,"1","1","1","1","1","1","1","2","1",".","2","3",".",".",".",".",".",".","3","."
"261",760,"40",3,0,40,12,1,1,12,"12",15,4,5,".",".",".",".",1,2,2,3,"2","1",3,".",".",".",".",".",".",".","3",".","2",".","2",".",".",".",".",".",".",".","2"
"262",764,"50",1,3,55,16,1,1,12,"12",20,6,6,"2","4","4","4",1,1,8,1,"2","2",3,"2","2","2","2","2","2","2","3","1",".","2","3","3","1","2","4","2","4",".","."
"263",766,".",1,0,25,19,1,1,12,".",16,5,6,"2","4","4","4",1,1,5,3,".","1",3,"1","1","1","1","1","1","1",".","1","2","2","3",".",".",".",".",".",".","4","2"
"264",768,"40",1,4,58,13,2,1,12,"11",20,5,8,".",".",".",".",1,2,1,2,"2",".",3,".",".",".",".",".",".",".","3",".","1",".","3","5","2","3","3","1","1",".","2"
"265",775,"35",1,4,46,11,2,1,11,"9",14,6,4,"2","5","5","5",1,1,2,3,".","2",2,"1","2","1","2","1","1","2",".","1","2","2","1",".",".",".",".",".",".","3","2"
"266",777,".",1,2,64,16,1,1,13,".",22,3,6,".",".",".",".",1,1,5,3,"2",".",3,".",".",".",".",".",".",".","9",".","2",".","3","5","2","2","4","2","3",".","1"
"267",780,"40",1,0,29,20,1,1,13,"13",22,1,3,"2","4","4","4",1,1,1,2,".","2",3,"1","8","1","8","1","1","1",".","4","2","2","3",".",".",".",".",".",".","4","1"
"268",782,"40",3,1,32,12,2,1,12,"10",21,5,4,"2","5","5","4",1,1,2,2,".","2",3,"1","1","1","1","1","1","1",".","1","1","1","3",".",".",".",".",".",".","3","1"
"269",793,".",2,4,74,8,2,1,9,".",10,4,6,"1","5","5","5",2,2,7,1,"1","2",3,"1","2","1","2","1","2","2","2","1",".","2","2","3","3","2","2","2","2",".","."
"270",794,"55",1,0,33,16,1,1,12,"12",20,5,6,"2","5","4","4",1,2,2,3,"2","1",3,"1","2","1","2","1","2","2","2","1",".","2","3","3","1","2","2","2","3",".","."
"271",796,".",2,5,78,8,2,1,7,"99",7,1,6,"8","5","4","4",1,2,8,1,".","2",2,"8","8","8","8","8","8","8",".","8","2","1",".","4","2","8","8","8","2",".","1"
"272",799,"31",1,2,54,12,1,1,99,"99",99,4,6,".",".",".",".",1,1,0,2,"1",".",1,".",".",".",".",".",".",".","2",".","1",".","3","5","1","1","1","2","4",".","2"
"273",801,"52",5,0,34,14,2,1,12,"12",16,0,2,".",".",".",".",2,4,0,4,"3",".",2,".",".",".",".",".",".",".","0",".","1",".","4","1","3","1","2","2","2",".","2"
"274",804,".",5,0,47,17,1,1,4,"99",4,4,6,".",".",".",".",1,1,0,1,"1","3",1,".",".",".",".",".",".",".","3",".","1",".","2",".",".",".",".",".",".",".","1"
"275",805,".",3,2,70,12,1,1,4,".",4,3,6,"1","8","4","4",1,2,3,1,".","2",1,"1","2","1","2","1","2","2",".","1","2","2","2",".",".",".",".",".",".","4","1"
"276",806,"48",5,2,35,15,2,1,4,".",4,2,4,".",".",".",".",1,3,0,1,"1",".",2,".",".",".",".",".",".",".","2",".","1",".","4","1","3","1","1","1","1",".","2"
"277",808,"20",2,3,51,12,2,2,5,"2",5,0,2,"8","5","5","4",1,1,3,2,"1","3",2,"1","2","1","2","1","2","2","2","1",".","1","3",".",".",".",".",".",".","4","."
"278",810,".",2,6,70,98,2,2,98,".",98,0,4,"2","5","5","5",1,1,2,3,".","3",2,"2","2","2","2","1","8","2",".","1","2","1","1",".",".",".",".",".",".","4","1"
"279",813,"40",5,2,22,13,2,2,3,"3",3,1,6,"2","4","5","4",1,1,3,1,".","3",3,"1","1","1","1","1","1","1",".","1","1","1",".","3","1","1","1","1","1",".","2"
"280",814,"40",1,2,32,11,2,1,12,"8",18,4,6,"2","4","4","4",1,1,3,2,"1","2",2,"1","2","1","2","1","2","2","2","4",".","2","4","3","2","2","2","2","8",".","."
"281",816,".",1,1,26,12,2,1,13,"13",22,3,8,"2","4","5","4",8,2,0,3,".","2",3,"1","2","1","1","1","2","1",".","8","9","2","3",".",".",".",".",".",".","3","2"
"282",817,"44",1,2,33,13,1,1,12,"12",17,4,4,".",".",".",".",2,2,7,2,"2","2",2,".",".",".",".",".",".",".","2",".","1",".","3",".",".",".",".",".",".",".","1"
"283",819,"36",1,2,30,12,1,1,12,"10",15,3,4,"2","5","5","4",1,4,0,4,"2","2",2,"1","1","1","1","1","2","2","2","4",".","2","3",".",".",".",".",".",".","4","."
"284",821,"40",3,3,50,13,2,2,12,"12",20,0,3,".",".",".",".",1,1,5,2,"2","2",2,".",".",".",".",".",".",".","2",".","2",".","3",".",".",".",".",".",".",".","2"
"285",827,"40",5,3,41,13,2,2,11,"9",14,0,3,".",".",".",".",1,1,3,2,"2","2",2,".",".",".",".",".",".",".","2",".","2",".","3",".",".",".",".",".",".",".","3"
"286",828,".",4,0,56,12,2,2,13,".",22,0,4,".",".",".",".",1,2,2,2,"2",".",3,".",".",".",".",".",".",".","4",".","1",".","3","4","2","1","3","1","1",".","2"
